pincode,latitude,longitude,city,state
101301,28.413423538208,77.0658874511718,Nirvana Country,Gurugram
110001,28.632840156555147,77.2183799743652,New Delhi,Delhi
110002,28.569896697998,77.2109794616699,New Delhi,Delhi
110003,28.582592010498,77.2177352905273,New Delhi,Delhi
110004,28.632173538207965,77.18706766764318,Delhi,Delhi
110005,28.6516083611382,77.18811459011498,New Delhi,Delhi
110006,28.651634852091433,77.229258219401,Delhi,Delhi
110007,28.65850181579582,77.21411285400389,Delhi,Delhi
110008,28.632282257080018,77.15832646687822,East Patel Nagar,Delhi
110009,28.69819545745846,77.1946250915527,Delhi,Delhi
110012,28.6269989013671,77.1486511230468,Inderpuri,New Delhi
110014,28.579276561737025,77.25530242919915,New Delhi,Delhi
110015,28.660218980577213,77.14033423529726,New Delhi,Delhi
110016,28.548088709513298,77.1952718098958,Delhi,Delhi
110017,28.53821945190424,77.20959237905643,Malviya Nagar,Delhi
110018,28.6392940945095,77.08959706624347,Delhi,Delhi
110019,28.537672042846637,77.25210656060109,Delhi,Delhi
110022,28.5585250854492,77.1847686767578,New Delhi,Delhi
110024,28.5749050487171,77.22911834716795,New Delhi,Delhi
110025,28.55413178035187,77.2875845772879,Delhi,Delhi
110026,28.6652024586995,77.13385264078771,Delhi,Delhi
110027,28.644158681233666,77.11577267116968,New Delhi,Delhi
110029,28.563501358032198,77.19640655517576,New Delhi,Delhi
110030,28.50621318817135,77.191535949707,Delhi,Delhi
110031,28.651417732238748,77.27203559875485,Delhi,Delhi
110032,28.656900829739,77.27524566650385,Delhi,Delhi
110033,28.717134157816517,77.17675654093422,Adarsh Nagar,Delhi
110034,28.695826016939545,77.13431138258709,Saket,Delhi
110035,28.683428764343198,77.15789031982419,Delhi,Delhi
110036,28.8248748779296,77.1721954345703,Delhi,Delhi
110037,27.766401290893526,77.47610855102533,New Delhi,Delhi
110039,28.7924531300862,77.04584503173824,Bawana,Delhi
110040,28.8503532409667,77.0877609252929,Narela,Delhi
110041,28.676675160725853,77.06122165256072,Nangloi Jat,Delhi
110042,28.7565383911132,77.1498031616211,Delhi,Delhi
110043,28.615880421229715,76.99863869803288,Delhi,Delhi
110044,28.504591941833436,77.30632273356117,Delhi,Delhi
110045,28.600106981065487,77.08830176459415,Delhi,Delhi
110046,28.623802820841433,77.11225128173824,New Delhi,Delhi
110048,28.55306538668543,77.23549305308944,Delhi,Delhi
110049,28.562257289886425,77.2170715332031,New Delhi,Delhi
110051,28.65128026689797,77.29107883998321,Delhi,Delhi
110052,28.6904471715291,77.17679977416987,Delhi,Delhi
110053,28.67809963226313,77.27045694986974,New Delhi,Delhi
110054,28.6720085144042,77.2279052734375,Delhi,Delhi
110055,28.66320419311515,77.1878204345703,New Delhi,Delhi
110056,28.6857143402099,77.10894622802732,Rajamahendravaram,Andhra Pradesh
110057,28.56494140625,77.1573638916015,New Delhi,Delhi
110058,28.62206437852643,77.0912221272786,Delhi,Delhi
110059,28.623794702383144,77.05311291034401,Uttam Nagar,Delhi
110060,28.64025442940843,77.18552507672987,New Delhi,Delhi
110062,28.52854156494135,77.22867202758785,Madangir,Delhi
110063,28.671669769287057,77.11414947509762,Delhi,Delhi
110064,28.610312053135413,77.13792419433591,New Delhi,Delhi
110065,28.56463947296138,77.24773559570306,New Delhi,Delhi
110067,28.5570011138916,77.1690139770507,New Delhi,Delhi
110070,28.531711578369084,77.14600372314449,New Delhi,Delhi
110074,28.4999771118164,77.1887512207031,Chattarpur,Delhi
110075,28.5847187042236,77.05436420440668,Dwarka,Delhi
110076,28.53571081161495,77.29279518127437,Delhi,Delhi
110077,28.5625241597493,77.05112965901687,New Delhi,Delhi
110078,28.60233802795406,77.0304077148437,Dwarka,Delhi
110080,28.5028057098388,77.24271011352533,Sangam Vihar,New Delhi
110081,28.738821029663,77.0049438476562,Delhi,Delhi
110083,28.6939449310302,77.0817260742187,New Delhi,Delhi
110084,28.751317342122366,77.19218190511067,Delhi,North West Delhi
110085,28.719625631968132,77.11951955159502,Delhi,Delhi
110086,28.705495452880804,77.06165618896482,Kirari,Delhi
110087,28.645755767822234,77.12091191609697,Delhi,Delhi
110088,28.70508956909173,77.16003672281897,Shalimar Bagh,Delhi
110089,28.707180023193317,77.12269719441728,Dwarka,Delhi
110091,28.615514755248988,77.29660892486567,Delhi,Delhi
110092,28.637162420484703,77.3007562425401,Ghaziabad,Uttar Pradesh
110093,28.659582138061467,77.22547912597653,Delhi,Delhi
110094,28.715721130371065,77.27167765299477,Delhi,Delhi
110095,28.6850463867187,77.32128295898434,"Delhi, Rewari, Jammu",Delhi
110096,28.598941167195587,77.31737263997391,East Delhi,Delhi
110099,28.7056112289428,77.07286071777335,New Delhi,Delhi
112001,26.2623424530029,73.0135116577148,Jodhpur,Rajasthan
120001,28.482578277587848,77.01660156249994,Gurugram,Haryana
121001,28.399026870727496,77.3058371292917,Faridabad,Nit
121002,28.408520889282194,77.32581939697262,Faridabad,Haryana
121003,28.459138658311588,77.31791347927515,Faridabad,Haryana
121004,28.3347797393798,77.3239135742187,Ballabgarh,Haryana
121005,28.36140346527095,77.2896347045898,Faridabad,Haryana
121006,28.37315082550045,77.33010101318355,Faridabad,Haryana
121007,28.4107971191406,77.3477783203125,Faridabad,Haryana
121009,28.48819923400875,77.29027557373041,Faridabad,Haryana
121010,28.396579106648733,77.30935160319007,Faridabad,Haryana
121102,28.1454720497131,77.33152580261228,Palwal,Haryana
